id,model,year,trim,category,mileage_km,engine,transmission,fuel_type,color,region_specs,price_aed,price_sar
1,Honda Accord,2018,LX,سيدان متوسطة,106001,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),63000,64260
2,Honda Accord,2018,LX,سيدان متوسطة,113367,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات خليجية (GCC),57500,58650
3,Honda Accord,2018,Sport,سيدان متوسطة,96439,1.5L توربو,CVT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),65500,66810
4,Honda Accord,2018,Sport,سيدان متوسطة,103667,1.5L توربو,CVT,بنزين,بني برونزي,مواصفات أمريكية,65000,66300
5,Honda Accord,2018,EX,سيدان متوسطة,149595,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات خليجية (GCC),77000,78540
6,Honda Accord,2018,EX,سيدان متوسطة,118844,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),73500,74970
7,Honda Accord,2018,EX-L,سيدان متوسطة,136786,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),71000,72420
8,Honda Accord,2018,EX-L,سيدان متوسطة,145971,1.5L توربو,CVT,بنزين,برتقالي,مواصفات أمريكية,76000,77520
9,Honda Accord,2018,Touring,سيدان متوسطة,163325,2.0L توربو,10-Speed AT,بنزين,أزرق داكن,مواصفات خليجية (GCC),88000,89760
10,Honda Accord,2018,Touring,سيدان متوسطة,147859,2.0L توربو,10-Speed AT,بنزين,أبيض لؤلؤي,مواصفات أمريكية,82500,84150
11,Honda Accord,2018,Sport Hybrid,سيدان متوسطة,125605,2.0L هجين,CVT,بنزين,أسود معدني,مواصفات يابانية,75000,76500
12,Honda Accord,2018,Sport Hybrid,سيدان متوسطة,145370,2.0L هجين,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),85500,87210
13,Honda Accord,2018,Touring Hybrid,سيدان متوسطة,118377,2.0L هجين,CVT,بنزين,أزرق داكن,مواصفات خليجية (GCC),91500,93330
14,Honda Accord,2018,Touring Hybrid,سيدان متوسطة,110332,2.0L هجين,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),99500,101490
15,Honda Accord,2019,LX,سيدان متوسطة,105312,1.5L توربو,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),76500,78030
16,Honda Accord,2019,LX,سيدان متوسطة,109499,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات خليجية (GCC),65500,66810
17,Honda Accord,2019,Sport,سيدان متوسطة,121748,1.5L توربو,CVT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),78000,79560
18,Honda Accord,2019,Sport,سيدان متوسطة,118568,1.5L توربو,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),85500,87210
19,Honda Accord,2019,EX,سيدان متوسطة,99719,1.5L توربو,CVT,بنزين,بني برونزي,مواصفات خليجية (GCC),78500,80070
20,Honda Accord,2019,EX,سيدان متوسطة,145114,1.5L توربو,CVT,بنزين,أبيض ثلجي,مواصفات خليجية (GCC),93500,95370
21,Honda Accord,2019,EX-L,سيدان متوسطة,130731,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات أوروبية,86500,88230
22,Honda Accord,2019,EX-L,سيدان متوسطة,145521,1.5L توربو,CVT,بنزين,أسود معدني,مواصفات أمريكية,82000,83640
23,Honda Accord,2019,Touring,سيدان متوسطة,99149,2.0L توربو,10-Speed AT,بنزين,أسود معدني,مواصفات خليجية (GCC),112000,114240
24,Honda Accord,2019,Touring,سيدان متوسطة,129380,2.0L توربو,10-Speed AT,بنزين,بني برونزي,مواصفات أوروبية,109000,111180
25,Honda Accord,2019,Sport Hybrid,سيدان متوسطة,116897,2.0L هجين,CVT,بنزين,أسود معدني,مواصفات أمريكية,84500,86190
26,Honda Accord,2019,Sport Hybrid,سيدان متوسطة,144950,2.0L هجين,CVT,بنزين,أزرق داكن,مواصفات خليجية (GCC),105500,107610
27,Honda Accord,2019,Touring Hybrid,سيدان متوسطة,131452,2.0L هجين,CVT,بنزين,أزرق داكن,مواصفات خليجية (GCC),109500,111690
28,Honda Accord,2019,Touring Hybrid,سيدان متوسطة,139334,2.0L هجين,CVT,بنزين,أزرق داكن,مواصفات يابانية,111500,113730
29,Honda Accord,2020,LX,سيدان متوسطة,126879,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات خليجية (GCC),80000,81600
30,Honda Accord,2020,LX,سيدان متوسطة,128711,1.5L توربو,CVT,بنزين,برتقالي,مواصفات خليجية (GCC),72500,73950
31,Honda Accord,2020,LX,سيدان متوسطة,70746,1.5L توربو,CVT,بنزين,أزرق داكن,مواصفات يابانية,86500,88230
32,Honda Accord,2020,Sport,سيدان متوسطة,91487,1.5L توربو,CVT,بنزين,أسود معدني,مواصفات يابانية,87500,89250
33,Honda Accord,2020,Sport,سيدان متوسطة,83380,1.5L توربو,CVT,بنزين,بني برونزي,مواصفات أوروبية,81000,82620
34,Honda Accord,2020,Sport,سيدان متوسطة,81463,1.5L توربو,CVT,بنزين,رمادي فضي,مواصفات يابانية,96500,98430
35,Honda Accord,2020,EX,سيدان متوسطة,101697,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),107000,109140
36,Honda Accord,2020,EX,سيدان متوسطة,123305,1.5L توربو,CVT,بنزين,بيج شامبين,مواصفات خليجية (GCC),96000,97920
37,Honda Accord,2020,EX,سيدان متوسطة,118541,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),101500,103530
38,Honda Accord,2020,EX-L,سيدان متوسطة,78833,1.5L توربو,CVT,بنزين,أحمر كريستالي,مواصفات خليجية (GCC),90500,92310
39,Honda Accord,2020,EX-L,سيدان متوسطة,128454,1.5L توربو,CVT,بنزين,أبيض لؤلؤي,مواصفات خليجية (GCC),90000,91800
40,Honda Accord,2020,EX-L,سيدان متوسطة,90604,1.5L توربو,CVT,بنزين,أسود معدني,مواصفات يابانية,91000,92820
41,Honda Accord,2020,Touring,سيدان متوسطة,121437,2.0L توربو,10-Speed AT,بنزين,أحمر كريستالي,مواصفات أمريكية,112000,114240
